,Name,Birthday,Age,Occupation,Bio,Also Viewed
0,Leonardo DiCaprio,"November 11, 1974",50,actor,"Actor who first rose to prominence for his roles in the 1990's films What's Eating Gilbert Grape, Romeo + Juliet and Titanic. He then went on to star in Catch Me If You Can, Blood Diamond, The Departed and Inception. He won an Academy Award for Best Actor for his role as Hugh Glass in the 2015 film The Revenant.","['Kate Winslet', 'Bar Refaeli', 'Kirk Cameron']"
1,Michelle Obama,"January 17, 1964",61,lawyer,"Former First Lady of the United States of America who married Barack Obama, the 44th President of the United States of America, in 1992. She took a leading role in the ""Let's Move!"" initiative, which attempts to fight against childhood obesity, and has been a strong advocate for the rights of veterans and the LGBT community.","['Barack Obama', 'Nancy Reagan']"
2,Jim Carrey,"January 17, 1962",63,comedian,"Comedian and actor who starred in such popular 1990s comedies as Dumb and Dumber, The Mask, The Cable Guy, Liar Liar and Ace Ventura: Pet Detective. He also proved his range with his Golden Globe winning roles in The Truman Show and Man on the Moon and for portraying Joel Barish in the inventive 2004 film Eternal Sunshine of the Spotless Mind.","['Jeff Daniels', 'Steve Carell', 'Robin Williams']"
3,Kim Kardashian,"October 21, 1980",44,entrepreneur,"Rose to fame on Keeping Up with the Kardashians alongside her sisters Khloe, Kourtney, Kylie and Kendall, her brother Rob, her mother Kris and her mother's second spouse, Caitlyn. She has had tremendous success as an entrepreneur, launching clothing lines and smartphone apps. In 2015, she was named one of Time magazine's 100 most influential people. After after Keeping Up with the Kardashians ended in 2021, she starred on Hulu's The Kardashians.","['Kylie Jenner', 'Kanye West', 'North West']"
4,Tom Cruise,"July 03, 1962",62,actor,"Actor who won Golden Globe Awards for his roles in Born on the Fourth of July, Jerry Maguire, and Magnolia. He had his breakthrough role in the 1983 film Risky Business and in 1996, he began playing Ethan Hunt in the popular Mission: Impossible film series.","['Nicole Kidman', 'Katie Holmes', 'Penelope Cruz']"
5,Will Smith,"September 25, 1968",56,actor,"Actor and rapper who had his breakthrough acting role on the popular sitcom The Fresh Prince of Bel-Air. In 2007, he was named the most powerful actor in Hollywood by Newsweek. His long list of film credits includes Men in Black, Independence Day, Hitch and Bad Boys. He was also cast as the Genie in the Disney live-action remake of Aladdin.","['Jada Pinkett Smith', 'Martin Lawrence', 'Chris Rock']"
6,Taylor Swift,"December 13, 1989",35,singer-songwriter,"Singer and songwriter who at the age of 16 became the youngest solo artist to write and record a #1 hit on the U.S. Hot Country Songs chart with the single ""Our Song."" She released her fourth country album, Red, in 2012. Her first pop album, 1989, came out in 2014. In 2017, her sixth album, Reputation, sold over a million copies in four days. She has since released multiple albums including re-recordings of her earlier albums.","['Selena Gomez', 'Ed Sheeran', 'Harry Styles']"
7,Barack Obama,"August 04, 1961",63,politician,44th President of the United States who became the first African-American to hold the office. He became known for his economic stimulus legislation and healthcare reform.,"['Michelle Obama', 'Malia Obama', 'Sasha Obama']"
8,Ivanka Trump,"October 30, 1981",43,businessperson,"Heiress and socialite who is primarily known for her celebrity parents. She became the Executive Vice President of Development & Acquisitions for her father's company, The Trump Organization.","['Donald Trump', 'Barron Trump']"
9,Danny DeVito,"November 17, 1944",80,film_producer,"Long-time actor who won an Emmy Award and a Golden Globe Award for his role as Louie de Palma in the TV series Taxi. He has appeared in such films as One Flew Over the Cuckoo's Nest, LA Confidential, Batman Returns, Get Shorty, Matilda, and Mars Attacks!","['Charlie Day', 'Kaitlin Olson', 'Rhea Perlman']"
10,Arnold Schwarzenegger,"July 30, 1947",77,actor,"Bodybuilder, actor, and politician who served as the governor of California from 2003 to 2011. His best known films include Conan the Barbarian, Predator, The Terminator series, and Total Recall. In 1996 he portrayed Howard Langston in the holiday film Jingle All the Way.","['Sylvester Stallone', 'Danny Devito', 'Maria Shriver']"
11,Donald Trump,"June 14, 1946",78,entrepreneur,"The 45th and 47th president of the United States, he first made his mark as a successful businessman, becoming a prominent real estate developer.  He founded The Trump Organization and was the host of the popular reality TV series The Apprentice.  In 2024, he won the Republican nomination for president, then won the general election to become the 47th president.","['Barron Trump', 'Melania Knauss']"
12,Britney Spears,"December 02, 1981",43,actor,"Pop superstar whose first two albums, Baby One More Time and Oops!...I Did it Again, both sold over 20 million copies worldwide. She released another six albums from 2001 to 2013 and starred in her feature film debut Crossroads in 2002.","['Miley Cyrus', 'Christina Aguilera']"
13,Kamala Harris,"October 20, 1964",60,politician,"Politician who became the vice president of the United States alongside President Joe Biden in 2021. She became the first female vice president of the U.S. as well as the first Black vice president and the first Asian American vice president. Prior to her vice presidency, she served in the U.S. Senate for four years.","['Joe Biden', 'Barack Obama', 'Douglas Emhoff']"
14,Elon Musk,"June 28, 1971",53,aerospace_engineer,"South African engineer and billionaire who founded PayPal, SpaceX, Tesla Motors and Neuralink.  In January 2021, he was the richest person in the world with a net worth of $188 billion.","['Jeff Bezos', 'Bill Gates', 'Larry Page']"
15,Julia Roberts,"October 28, 1967",57,film_producer,"Gained fame after starring in Pretty Woman and went on to win an Oscar for her leading role in Erin Brockovich in 2000. Other notable films include Hook, Mona Lisa Smile, Mirror Mirror and August: Osage County. In 2018, she began starring in the Amazon series Homecoming.","['George Clooney', 'Richard Gere', 'Sandra Bullock']"
